IGN,LVL,CULVERT,FLAG
rchry,276,"17,956",0
Zugan,280,"12,895",0
AgriasOaks,278,"12,016",0
Kyenesis,280,"11,150",0
STDballs,277,"10,140",0
Burial,277,"10,006",0
tomotokun,276,"8,361",800
helloyesok,260,"8,353",0
pokguy,272,"7,507","1,000"
blkicecoffee,271,"7,406",0
RococoDok,276,"7,227",300
MysticalStep,277,"6,923",0
SingularityX,275,"6,047",0
NandoLab,273,"5,374",0
Couronne,272,"5,301",300
RedEntei,266,"4,103",0
ShiroUni,263,"4,055",0
SomaSet,271,"3,877",0
Brunhile,255,"3,568",0
fwed,260,"2,802","1,000"
Aggression,253,"2,501",0
Dermonictiz,250,"2,344",650
AnnyWithaY,268,"2,048",100
MysticBucc,251,"1,802",100
Charmante,265,"1,787",300
Anamiyawa,248,"1,511",0
Miranie,275,"1,456",0
KalePesto,240,"1,097",0
FujiNW,256,"1,072",0
FakerlsU,247,877,0
Dauntless,254,712,100
Arkeustwo,250,630,350
sadweeken,250,539,100
Cthuguu,235,236,100
BISHOPerb,252,175,100
Akaoz,238,90,100
Giver,235,75,100
Alivya,255,0,0
AYoungPan,276,0,0
AaronHawn,250,0,0
Adorabowl,235,0,0
AgriasOaks,275,0,0
Ailiou,276,0,0
AnillaZeta,248,0,0
Aoifene,244,0,0
ArkR1,263,0,0
Arsteia,244,0,0
ArwenWindx,250,0,0
Atargattis,257,0,0
Aeira,275,0,0
Basilisk,248,0,0
